symbol	name	locus_group
RNA5SP330	RNA, 5S ribosomal pseudogene 330	pseudogene
RNA5SP331	RNA, 5S ribosomal pseudogene 331	pseudogene
RNA5SP332	RNA, 5S ribosomal pseudogene 332	pseudogene
RNA5SP333	RNA, 5S ribosomal pseudogene 333	pseudogene
RNA5SP334	RNA, 5S ribosomal pseudogene 334	pseudogene
RNA5SP335	RNA, 5S ribosomal pseudogene 335	pseudogene
RNA5SP336	RNA, 5S ribosomal pseudogene 336	pseudogene
RNA5SP337	RNA, 5S ribosomal pseudogene 337	pseudogene
RNA5SP338	RNA, 5S ribosomal pseudogene 338	pseudogene
RNA5SP339	RNA, 5S ribosomal pseudogene 339	pseudogene
RNA5SP340	RNA, 5S ribosomal pseudogene 340	pseudogene
RNA5SP341	RNA, 5S ribosomal pseudogene 341	pseudogene
RNA5SP342	RNA, 5S ribosomal pseudogene 342	pseudogene
RNA5SP343	RNA, 5S ribosomal pseudogene 343	pseudogene
RNA5SP344	RNA, 5S ribosomal pseudogene 344	pseudogene
RNA5SP345	RNA, 5S ribosomal pseudogene 345	pseudogene
RNA5SP346	RNA, 5S ribosomal pseudogene 346	pseudogene
RNA5SP347	RNA, 5S ribosomal pseudogene 347	pseudogene
RNA5SP348	RNA, 5S ribosomal pseudogene 348	pseudogene
RNA5SP349	RNA, 5S ribosomal pseudogene 349	pseudogene
RNA5SP350	RNA, 5S ribosomal pseudogene 350	pseudogene
RNA5SP351	RNA, 5S ribosomal pseudogene 351	pseudogene
RNA5SP352	RNA, 5S ribosomal pseudogene 352	pseudogene
RNA5SP353	RNA, 5S ribosomal pseudogene 353	pseudogene
RNA5SP354	RNA, 5S ribosomal pseudogene 354	pseudogene
RNA5SP355	RNA, 5S ribosomal pseudogene 355	pseudogene
RNA5SP356	RNA, 5S ribosomal pseudogene 356	pseudogene
RNA5SP357	RNA, 5S ribosomal pseudogene 357	pseudogene
RNA5SP358	RNA, 5S ribosomal pseudogene 358	pseudogene
RNA5SP359	RNA, 5S ribosomal pseudogene 359	pseudogene
RNA5SP360	RNA, 5S ribosomal pseudogene 360	pseudogene
RNA5SP361	RNA, 5S ribosomal pseudogene 361	pseudogene
RNA5SP362	RNA, 5S ribosomal pseudogene 362	pseudogene
RNA5SP363	RNA, 5S ribosomal pseudogene 363	pseudogene
RNA5SP364	RNA, 5S ribosomal pseudogene 364	pseudogene
RNA5SP365	RNA, 5S ribosomal pseudogene 365	pseudogene
RNA5SP366	RNA, 5S ribosomal pseudogene 366	pseudogene
RNA5SP367	RNA, 5S ribosomal pseudogene 367	pseudogene
RNA5SP368	RNA, 5S ribosomal pseudogene 368	pseudogene
RNA5SP369	RNA, 5S ribosomal pseudogene 369	pseudogene
RNA5SP370	RNA, 5S ribosomal pseudogene 370	pseudogene
RNA5SP371	RNA, 5S ribosomal pseudogene 371	pseudogene
RNA5SP372	RNA, 5S ribosomal pseudogene 372	pseudogene
RNA5SP373	RNA, 5S ribosomal pseudogene 373	pseudogene
RNA5SP374	RNA, 5S ribosomal pseudogene 374	pseudogene
RNA5SP375	RNA, 5S ribosomal pseudogene 375	pseudogene
RNA5SP376	RNA, 5S ribosomal pseudogene 376	pseudogene
RNA5SP377	RNA, 5S ribosomal pseudogene 377	pseudogene
RNA5SP378	RNA, 5S ribosomal pseudogene 378	pseudogene
RNA5SP379	RNA, 5S ribosomal pseudogene 379	pseudogene
RNA5SP380	RNA, 5S ribosomal pseudogene 380	pseudogene
RNA5SP381	RNA, 5S ribosomal pseudogene 381	pseudogene
RNA5SP382	RNA, 5S ribosomal pseudogene 382	pseudogene
RNA5SP383	RNA, 5S ribosomal pseudogene 383	pseudogene
RNA5SP384	RNA, 5S ribosomal pseudogene 384	pseudogene
RNA5SP385	RNA, 5S ribosomal pseudogene 385	pseudogene
RNA5SP386	RNA, 5S ribosomal pseudogene 386	pseudogene
RNA5SP387	RNA, 5S ribosomal pseudogene 387	pseudogene
RNA5SP388	RNA, 5S ribosomal pseudogene 388	pseudogene
RNA5SP389	RNA, 5S ribosomal pseudogene 389	pseudogene
RNA5SP390	RNA, 5S ribosomal pseudogene 390	pseudogene
RNA5SP391	RNA, 5S ribosomal pseudogene 391	pseudogene
RNA5SP392	RNA, 5S ribosomal pseudogene 392	pseudogene
RNA5SP393	RNA, 5S ribosomal pseudogene 393	pseudogene
RNA5SP394	RNA, 5S ribosomal pseudogene 394	pseudogene
RNA5SP395	RNA, 5S ribosomal pseudogene 395	pseudogene
RNA5SP396	RNA, 5S ribosomal pseudogene 396	pseudogene
RNA5SP397	RNA, 5S ribosomal pseudogene 397	pseudogene
RNA5SP398	RNA, 5S ribosomal pseudogene 398	pseudogene
RNA5SP399	RNA, 5S ribosomal pseudogene 399	pseudogene
RNA5SP400	RNA, 5S ribosomal pseudogene 400	pseudogene
RNA5SP401	RNA, 5S ribosomal pseudogene 401	pseudogene
RNA5SP402	RNA, 5S ribosomal pseudogene 402	pseudogene
RNA5SP403	RNA, 5S ribosomal pseudogene 403	pseudogene
RNA5SP404	RNA, 5S ribosomal pseudogene 404	pseudogene
RNA5SP405	RNA, 5S ribosomal pseudogene 405	pseudogene
RNA5SP406	RNA, 5S ribosomal pseudogene 406	pseudogene
RNA5SP407	RNA, 5S ribosomal pseudogene 407	pseudogene
RNA5SP408	RNA, 5S ribosomal pseudogene 408	pseudogene
RNA5SP409	RNA, 5S ribosomal pseudogene 409	pseudogene
RNA5SP410	RNA, 5S ribosomal pseudogene 410	pseudogene
RNA5SP411	RNA, 5S ribosomal pseudogene 411	pseudogene
RNA5SP412	RNA, 5S ribosomal pseudogene 412	pseudogene
RNA5SP413	RNA, 5S ribosomal pseudogene 413	pseudogene
RNA5SP414	RNA, 5S ribosomal pseudogene 414	pseudogene
RNA5SP415	RNA, 5S ribosomal pseudogene 415	pseudogene
RNA5SP416	RNA, 5S ribosomal pseudogene 416	pseudogene
RNA5SP417	RNA, 5S ribosomal pseudogene 417	pseudogene
RNA5SP418	RNA, 5S ribosomal pseudogene 418	pseudogene
RNA5SP419	RNA, 5S ribosomal pseudogene 419	pseudogene
RNA5SP420	RNA, 5S ribosomal pseudogene 420	pseudogene
RNA5SP421	RNA, 5S ribosomal pseudogene 421	pseudogene
RNA5SP422	RNA, 5S ribosomal pseudogene 422	pseudogene
RNA5SP423	RNA, 5S ribosomal pseudogene 423	pseudogene
RNA5SP424	RNA, 5S ribosomal pseudogene 424	pseudogene
RNA5SP425	RNA, 5S ribosomal pseudogene 425	pseudogene
RNA5SP426	RNA, 5S ribosomal pseudogene 426	pseudogene
RNA5SP427	RNA, 5S ribosomal pseudogene 427	pseudogene
RNA5SP428	RNA, 5S ribosomal pseudogene 428	pseudogene
RNA5SP429	RNA, 5S ribosomal pseudogene 429	pseudogene
RNA5SP430	RNA, 5S ribosomal pseudogene 430	pseudogene
RNA5SP431	RNA, 5S ribosomal pseudogene 431	pseudogene
RNA5SP432	RNA, 5S ribosomal pseudogene 432	pseudogene
RNA5SP433	RNA, 5S ribosomal pseudogene 433	pseudogene
RNA5SP434	RNA, 5S ribosomal pseudogene 434	pseudogene
RNA5SP435	RNA, 5S ribosomal pseudogene 435	pseudogene
RNA5SP436	RNA, 5S ribosomal pseudogene 436	pseudogene
RNA5SP437	RNA, 5S ribosomal pseudogene 437	pseudogene
RNA5SP438	RNA, 5S ribosomal pseudogene 438	pseudogene
RNA5SP439	RNA, 5S ribosomal pseudogene 439	pseudogene
RNA5SP440	RNA, 5S ribosomal pseudogene 440	pseudogene
RNA5SP441	RNA, 5S ribosomal pseudogene 441	pseudogene
RNA5SP442	RNA, 5S ribosomal pseudogene 442	pseudogene
RNA5SP443	RNA, 5S ribosomal pseudogene 443	pseudogene
RNA5SP444	RNA, 5S ribosomal pseudogene 444	pseudogene
RNA5SP445	RNA, 5S ribosomal pseudogene 445	pseudogene
RNA5SP446	RNA, 5S ribosomal pseudogene 446	pseudogene
RNA5SP447	RNA, 5S ribosomal pseudogene 447	pseudogene
RNA5SP448	RNA, 5S ribosomal pseudogene 448	pseudogene
RNA5SP449	RNA, 5S ribosomal pseudogene 449	pseudogene
RNA5SP450	RNA, 5S ribosomal pseudogene 450	pseudogene
RNA5SP451	RNA, 5S ribosomal pseudogene 451	pseudogene
RNA5SP452	RNA, 5S ribosomal pseudogene 452	pseudogene
RNA5SP453	RNA, 5S ribosomal pseudogene 453	pseudogene
RNA5SP454	RNA, 5S ribosomal pseudogene 454	pseudogene
RNA5SP455	RNA, 5S ribosomal pseudogene 455	pseudogene
RNA5SP456	RNA, 5S ribosomal pseudogene 456	pseudogene
RNA5SP457	RNA, 5S ribosomal pseudogene 457	pseudogene
RNA5SP458	RNA, 5S ribosomal pseudogene 458	pseudogene
RNA5SP459	RNA, 5S ribosomal pseudogene 459	pseudogene
RNA5SP460	RNA, 5S ribosomal pseudogene 460	pseudogene
RNA5SP461	RNA, 5S ribosomal pseudogene 461	pseudogene
RNA5SP462	RNA, 5S ribosomal pseudogene 462	pseudogene
RNA5SP463	RNA, 5S ribosomal pseudogene 463	pseudogene
RNA5SP464	RNA, 5S ribosomal pseudogene 464	pseudogene
RNA5SP465	RNA, 5S ribosomal pseudogene 465	pseudogene
RNA5SP466	RNA, 5S ribosomal pseudogene 466	pseudogene
RNA5SP467	RNA, 5S ribosomal pseudogene 467	pseudogene
RNA5SP468	RNA, 5S ribosomal pseudogene 468	pseudogene
RNA5SP469	RNA, 5S ribosomal pseudogene 469	pseudogene
RNA5SP470	RNA, 5S ribosomal pseudogene 470	pseudogene
RNA5SP471	RNA, 5S ribosomal pseudogene 471	pseudogene
RNA5SP472	RNA, 5S ribosomal pseudogene 472	pseudogene
RNA5SP473	RNA, 5S ribosomal pseudogene 473	pseudogene
RNA5SP474	RNA, 5S ribosomal pseudogene 474	pseudogene
RNA5SP475	RNA, 5S ribosomal pseudogene 475	pseudogene
RNA5SP476	RNA, 5S ribosomal pseudogene 476	pseudogene
RNA5SP477	RNA, 5S ribosomal pseudogene 477	pseudogene
RNA5SP478	RNA, 5S ribosomal pseudogene 478	pseudogene
RNA5SP479	RNA, 5S ribosomal pseudogene 479	pseudogene
RNA5SP480	RNA, 5S ribosomal pseudogene 480	pseudogene
RNA5SP481	RNA, 5S ribosomal pseudogene 481	pseudogene
RNA5SP482	RNA, 5S ribosomal pseudogene 482	pseudogene
RNA5SP483	RNA, 5S ribosomal pseudogene 483	pseudogene
RNA5SP484	RNA, 5S ribosomal pseudogene 484	pseudogene
RNA5SP485	RNA, 5S ribosomal pseudogene 485	pseudogene
RNA5SP486	RNA, 5S ribosomal pseudogene 486	pseudogene
RNA5SP487	RNA, 5S ribosomal pseudogene 487	pseudogene
RNA5SP488	RNA, 5S ribosomal pseudogene 488	pseudogene
RNA5SP489	RNA, 5S ribosomal pseudogene 489	pseudogene
RNA5SP490	RNA, 5S ribosomal pseudogene 490	pseudogene
RNA5SP491	RNA, 5S ribosomal pseudogene 491	pseudogene
RNA5SP492	RNA, 5S ribosomal pseudogene 492	pseudogene
RNA5SP493	RNA, 5S ribosomal pseudogene 493	pseudogene
RNA5SP494	RNA, 5S ribosomal pseudogene 494	pseudogene
RNA5SP495	RNA, 5S ribosomal pseudogene 495	pseudogene
RNA5SP496	RNA, 5S ribosomal pseudogene 496	pseudogene
RNA5SP497	RNA, 5S ribosomal pseudogene 497	pseudogene
RNA5SP498	RNA, 5S ribosomal pseudogene 498	pseudogene
RNA5SP499	RNA, 5S ribosomal pseudogene 499	pseudogene
RNA5SP500	RNA, 5S ribosomal pseudogene 500	pseudogene
RNA5SP501	RNA, 5S ribosomal pseudogene 501	pseudogene
RNA5SP502	RNA, 5S ribosomal pseudogene 502	pseudogene
RNA5SP503	RNA, 5S ribosomal pseudogene 503	pseudogene
RNA5SP504	RNA, 5S ribosomal pseudogene 504	pseudogene
RNA5SP505	RNA, 5S ribosomal pseudogene 505	pseudogene
RNA5SP506	RNA, 5S ribosomal pseudogene 506	pseudogene
RNA5SP507	RNA, 5S ribosomal pseudogene 507	pseudogene
RNA5SP508	RNA, 5S ribosomal pseudogene 508	pseudogene
RNA5SP509	RNA, 5S ribosomal pseudogene 509	pseudogene
RNA5SP510	RNA, 5S ribosomal pseudogene 510	pseudogene
RNA5SP511	RNA, 5S ribosomal pseudogene 511	pseudogene
RNA5SP512	RNA, 5S ribosomal pseudogene 512	pseudogene
RNA5SP513	RNA, 5S ribosomal pseudogene 513	pseudogene
RNA5SP514	RNA, 5S ribosomal pseudogene 514	pseudogene
RNA5SP515	RNA, 5S ribosomal pseudogene 515	pseudogene
RNA5SP516	RNA, 5S ribosomal pseudogene 516	pseudogene
RNA5SP517	RNA, 5S ribosomal pseudogene 517	pseudogene
RNA5SP518	RNA, 5S ribosomal pseudogene 518	pseudogene
RNA5SP519	RNA, 5S ribosomal pseudogene 519	pseudogene
RNA5SP520	RNA, 5S ribosomal pseudogene 520	pseudogene
RNA5SP521	RNA, 5S ribosomal pseudogene 521	pseudogene
RNA5SP522	RNA, 5S ribosomal pseudogene 522	pseudogene
RNA5SP523	RNA, 5S ribosomal pseudogene 523	pseudogene
RNA5SP524	RNA, 5S ribosomal pseudogene 524	pseudogene
RNA5SP525	RNA, 5S ribosomal pseudogene 525	pseudogene
RNA5SP526	RNA, 5S ribosomal pseudogene 526	pseudogene
RNA5SP527	RNA, 5S ribosomal pseudogene 527	pseudogene
RNA5SP528	RNA, 5S ribosomal pseudogene 528	pseudogene
RNA5SP529	RNA, 5S ribosomal pseudogene 529	pseudogene
RNA5SP530	RNA, 5S ribosomal pseudogene 530	pseudogene
RNA5SP531	RNA, 5S ribosomal pseudogene 531	pseudogene
RNA5SP532	RNA, 5S ribosomal pseudogene 532	pseudogene
RNA5SP533	RNA, 5S ribosomal pseudogene 533	pseudogene
RNA5SP534	RNA, 5S ribosomal pseudogene 534	pseudogene
RNA5SP535	RNA, 5S ribosomal pseudogene 535	pseudogene
RNA5SP536	RNA, 5S ribosomal pseudogene 536	pseudogene
RNA18S1	RNA, 18S ribosomal 1	non-coding RNA
RNA18S2	RNA, 18S ribosomal 2	non-coding RNA
RNA18S3	RNA, 18S ribosomal 3	non-coding RNA
RNA18S4	RNA, 18S ribosomal 4	non-coding RNA
RNA18S5	RNA, 18S ribosomal 5	non-coding RNA
RNA18SN1	RNA, 18S ribosomal N1	non-coding RNA
RNA18SN2	RNA, 18S ribosomal N2	non-coding RNA
RNA18SN3	RNA, 18S ribosomal N3	non-coding RNA
RNA18SN4	RNA, 18S pre-ribosomal N4	non-coding RNA
RNA18SN5	RNA, 18S ribosomal N5	non-coding RNA
RNA18SP2	RNA, 18S ribosomal pseudogene 2	pseudogene
RNA18SP3	RNA, 18S ribosomal pseudogene 3	pseudogene
RNA18SP4	RNA, 18S ribosomal pseudogene 4	pseudogene
RNA18SP5	RNA, 18S ribosomal pseudogene 5	pseudogene
RNA28S1	RNA, 28S ribosomal 1	non-coding RNA
RNA28S2	RNA, 28S ribosomal 2	non-coding RNA
RNA28S3	RNA, 28S ribosomal 3	non-coding RNA
RNA28S4	RNA, 28S ribosomal 4	non-coding RNA
RNA28S5	RNA, 28S ribosomal 5	non-coding RNA
RNA28SN1	RNA, 28S ribosomal N1	non-coding RNA
RNA28SN2	RNA, 28S ribosomal N2	non-coding RNA
RNA28SN3	RNA, 28S ribosomal N3	non-coding RNA
RNA28SN4	RNA, 28S ribosomal N4	non-coding RNA
RNA28SN5	RNA, 28S ribosomal N5	non-coding RNA
RNA45S1	RNA, 45S pre-ribosomal 1	non-coding RNA
RNA45S2	RNA, 45S pre-ribosomal 2	non-coding RNA
RNA45S3	RNA, 45S pre-ribosomal 3	non-coding RNA
RNA45S4	RNA, 45S pre-ribosomal 4	non-coding RNA
RNA45S5	RNA, 45S pre-ribosomal 5	non-coding RNA
RNA45SN1	RNA, 45S pre-ribosomal N1	non-coding RNA
RNA45SN2	RNA, 45S pre-ribosomal N2	non-coding RNA
RNA45SN3	RNA, 45S pre-ribosomal N3	non-coding RNA
RNA45SN4	RNA, 45S pre-ribosomal N4	non-coding RNA
RNA45SN5	RNA, 45S pre-ribosomal N5	non-coding RNA
RNASE1	ribonuclease A family member 1, pancreatic	protein-coding gene
RNASE2	ribonuclease A family member 2	protein-coding gene
RNASE3	ribonuclease A family member 3	protein-coding gene
RNASE4	ribonuclease A family member 4	protein-coding gene
RNASE6	ribonuclease A family member k6	protein-coding gene
RNASE7	ribonuclease A family member 7	protein-coding gene
RNASE8	ribonuclease A family member 8	protein-coding gene
RNASE9	ribonuclease A family member 9 (inactive)	protein-coding gene
RNASE10	ribonuclease A family member 10 (inactive)	protein-coding gene
RNASE11	ribonuclease A family member 11 (inactive)	protein-coding gene
RNASE12	ribonuclease A family member 12 (inactive)	protein-coding gene
RNASE13	ribonuclease A family member 13 (inactive)	protein-coding gene
RNASEH1	ribonuclease H1	protein-coding gene
RNASEH1-AS1	RNASEH1 antisense RNA 1	non-coding RNA
RNASEH1P1	ribonuclease H1 pseudogene 1	pseudogene
RNASEH1P2	ribonuclease H1 pseudogene 2	pseudogene
RNASEH1P3	ribonuclease H1 pseudogene 3	pseudogene
RNASEH2A	ribonuclease H2 subunit A	protein-coding gene
RNASEH2B	ribonuclease H2 subunit B	protein-coding gene
RNASEH2B-AS1	RNASEH2B antisense RNA 1	non-coding RNA
RNASEH2C	ribonuclease H2 subunit C	protein-coding gene
RNASEH2CP1	ribonuclease H2 subunit C pseudogene 1	pseudogene
RNASEK	ribonuclease K	protein-coding gene
RNASEK-C17orf49	RNASEK-C17orf49 readthrough	other
RNASEL	ribonuclease L	protein-coding gene
RNASET2	ribonuclease T2	protein-coding gene
RND1	Rho family GTPase 1	protein-coding gene
RND2	Rho family GTPase 2	protein-coding gene
RND3	Rho family GTPase 3	protein-coding gene
RNF2	ring finger protein 2	protein-coding gene
RNF2P1	ring finger protein 2 pseudogene 1	pseudogene
RNF4	ring finger protein 4	protein-coding gene
RNF5	ring finger protein 5	protein-coding gene
RNF5P1	ring finger protein 5 pseudogene 1	pseudogene
RNF6	ring finger protein 6	protein-coding gene
RNF6P1	ring finger protein 6 pseudogene 1	pseudogene
RNF7	ring finger protein 7	protein-coding gene
RNF7P1	ring finger protein 7 pseudogene 1	pseudogene
RNF8	ring finger protein 8	protein-coding gene
RNF10	ring finger protein 10	protein-coding gene
RNF10P1	ring finger protein 10 pseudogene 1	pseudogene
RNF11	ring finger protein 11	protein-coding gene
RNF11P1	ring finger protein 11 pseudogene 1	pseudogene
RNF11P2	ring finger protein 11 pseudogene 2	pseudogene
RNF13	ring finger protein 13	protein-coding gene
RNF14	ring finger protein 14	protein-coding gene
RNF14P1	RNF14 pseudogene 1	pseudogene
RNF14P2	RNF14 pseudogene 2	pseudogene
RNF14P3	RNF14 pseudogene 3	pseudogene
RNF14P4	RNF14 pseudogene 4	pseudogene
RNF17	ring finger protein 17	protein-coding gene
RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase	protein-coding gene
RNF19B	ring finger protein 19B	protein-coding gene
RNF19BPX	ring finger protein 19B pseudogene X-linked	pseudogene
RNF19BPY	ring finger protein 19B pseudogene Y-linked	pseudogene
RNF20	ring finger protein 20	protein-coding gene
RNF24	ring finger protein 24	protein-coding gene
RNF25	ring finger protein 25	protein-coding gene
RNF26	ring finger protein 26	protein-coding gene
RNF31	ring finger protein 31	protein-coding gene
RNF32	ring finger protein 32	protein-coding gene
RNF34	ring finger protein 34	protein-coding gene
RNF38	ring finger protein 38	protein-coding gene
RNF39	ring finger protein 39	protein-coding gene
RNF40	ring finger protein 40	protein-coding gene
RNF41	ring finger protein 41	protein-coding gene
RNF43	ring finger protein 43	protein-coding gene
RNF44	ring finger protein 44	protein-coding gene
RNF103	ring finger protein 103	protein-coding gene
RNF103-CHMP3	RNF103-CHMP3 readthrough	other
RNF111	ring finger protein 111	protein-coding gene
RNF112	ring finger protein 112	protein-coding gene
RNF113A	ring finger protein 113A	protein-coding gene
RNF113B	ring finger protein 113B	protein-coding gene
RNF114	ring finger protein 114	protein-coding gene
RNF115	ring finger protein 115	protein-coding gene
RNF121	ring finger protein 121	protein-coding gene
RNF122	ring finger protein 122	protein-coding gene
RNF123	ring finger protein 123	protein-coding gene
RNF125	ring finger protein 125	protein-coding gene
RNF126	ring finger protein 126	protein-coding gene
RNF126P1	ring finger protein 126 pseudogene 1	pseudogene
RNF128	ring finger protein 128	protein-coding gene
RNF130	ring finger protein 130	protein-coding gene
RNF133	ring finger protein 133	protein-coding gene
RNF135	ring finger protein 135	protein-coding gene
RNF138	ring finger protein 138	protein-coding gene
RNF138P1	ring finger protein 138 pseudogene 1	pseudogene
RNF138P2	ring finger protein 138 pseudogene 2	pseudogene
RNF139	ring finger protein 139	protein-coding gene
RNF139-AS1	RNF139 antisense RNA 1 (head to head)	non-coding RNA
RNF141	ring finger protein 141	protein-coding gene
RNF144A	ring finger protein 144A	protein-coding gene
RNF144A-AS1	RNF144A antisense RNA 1	non-coding RNA
RNF144B	ring finger protein 144B	protein-coding gene
RNF145	ring finger protein 145	protein-coding gene
RNF146	ring finger protein 146	protein-coding gene
RNF148	ring finger protein 148	protein-coding gene
RNF149	ring finger protein 149	protein-coding gene
RNF150	ring finger protein 150	protein-coding gene
RNF151	ring finger protein 151	protein-coding gene
RNF152	ring finger protein 152	protein-coding gene
RNF152P1	ring finger protein 152 pseudogene 1	pseudogene
RNF157	ring finger protein 157	protein-coding gene
RNF157-AS1	RNF157 antisense RNA 1	non-coding RNA
RNF165	ring finger protein 165	protein-coding gene
RNF165-IT1	RNF165 intronic transcript 1 (non-protein coding)	non-coding RNA
RNF166	ring finger protein 166	protein-coding gene
RNF167	ring finger protein 167	protein-coding gene
RNF168	ring finger protein 168	protein-coding gene
RNF169	ring finger protein 169	protein-coding gene
RNF170	ring finger protein 170	protein-coding gene
RNF175	ring finger protein 175	protein-coding gene
RNF180	ring finger protein 180	protein-coding gene
RNF181	ring finger protein 181	protein-coding gene
RNF182	ring finger protein 182	protein-coding gene
RNF183	ring finger protein 183	protein-coding gene
RNF185	ring finger protein 185	protein-coding gene
RNF185-AS1	RNF185 antisense RNA 1	non-coding RNA
RNF186	ring finger protein 186	protein-coding gene
RNF187	ring finger protein 187	protein-coding gene
RNF207	ring finger protein 207	protein-coding gene
RNF208	ring finger protein 208	protein-coding gene
RNF212	ring finger protein 212	protein-coding gene
RNF212B	ring finger protein 212B	protein-coding gene
RNF213	ring finger protein 213	protein-coding gene
RNF213-AS1	RNF213 antisense RNA 1	non-coding RNA
RNF214	ring finger protein 214	protein-coding gene
RNF215	ring finger protein 215	protein-coding gene
RNF216	ring finger protein 216	protein-coding gene
RNF216-IT1	RNF216 intronic transcript 1	non-coding RNA
RNF216P1	ring finger protein 216 pseudogene 1	pseudogene
RNF217	ring finger protein 217	protein-coding gene
RNF217-AS1	RNF217 antisense RNA 1 (head to head)	non-coding RNA
RNF220	ring finger protein 220	protein-coding gene
RNF222	ring finger protein 222	protein-coding gene
RNF223	ring finger protein 223	protein-coding gene
RNF224	ring finger protein 224	protein-coding gene
RNF225	ring finger protein 225	protein-coding gene
RNF227	ring finger protein 227	protein-coding gene
RNFT1	ring finger protein, transmembrane 1	protein-coding gene
RNFT1-DT	RNFT1 divergent transcript	non-coding RNA
RNFT1P1	ring finger protein, transmembrane 1 pseudogene 1	pseudogene
RNFT1P2	ring finger protein, transmembrane 1 pseudogene 2	pseudogene
RNFT1P3	ring finger protein, transmembrane 1 pseudogene 3	pseudogene
RNFT2	ring finger protein, transmembrane 2	protein-coding gene
RNGTT	RNA guanylyltransferase and 5'-phosphatase	protein-coding gene
RNGTTP1	RNA guanylyltransferase and 5'-phosphatase pseudogene 1	pseudogene
RNH1	ribonuclease/angiogenin inhibitor 1	protein-coding gene
RNLS	renalase, FAD dependent amine oxidase	protein-coding gene
RNMT	RNA guanine-7 methyltransferase	protein-coding gene
RNMTL1P1	RNA methyltransferase like 1 pseudogene 1	pseudogene
RNMTL1P2	RNA methyltransferase like 1 pseudogene 2	pseudogene
RNPC3	RNA binding region (RNP1, RRM) containing 3	protein-coding gene
RNPC3P1	RNA binding region (RNP1, RRM) containing 3 pseudogene 1	pseudogene
RNPEP	arginyl aminopeptidase	protein-coding gene
RNPEPL1	arginyl aminopeptidase like 1	protein-coding gene
RNPS1	RNA binding protein with serine rich domain 1	protein-coding gene
RNPS1P1	RNA binding protein with serine rich domain 1 pseudogene 1	pseudogene
RNR1	RNA, ribosomal 45S cluster 1	non-coding RNA
RNR2	RNA, ribosomal 45S cluster 2	non-coding RNA
RNR3	RNA, ribosomal 45S cluster 3	non-coding RNA
RNR4	RNA, ribosomal 45S cluster 4	non-coding RNA
RNR5	RNA, ribosomal 45S cluster 5	non-coding RNA
RNRP1	RNA, ribosomal pseudogene 1	pseudogene
RNRP2	RNA, ribosomal pseudogene 2	pseudogene
RNU1-1	RNA, U1 small nuclear 1	non-coding RNA
RNU1-2	RNA, U1 small nuclear 2	non-coding RNA
RNU1-3	RNA, U1 small nuclear 3	non-coding RNA
RNU1-4	RNA, U1 small nuclear 4	non-coding RNA
RNU1-5P	RNA, U1 small nuclear 5, pseudogene	pseudogene
RNU1-6P	RNA, U1 small nuclear 6, pseudogene	pseudogene
RNU1-7P	RNA, U1 small nuclear 7, pseudogene	pseudogene
RNU1-8P	RNA, U1 small nuclear 8, pseudogene	pseudogene
RNU1-11P	RNA, U1 small nuclear 11, pseudogene	pseudogene
RNU1-14P	RNA, U1 small nuclear 14, pseudogene	pseudogene
RNU1-15P	RNA, U1 small nuclear 15, pseudogene	pseudogene
RNU1-16P	RNA, U1 small nuclear 16, pseudogene	pseudogene
RNU1-17P	RNA, U1 small nuclear 17, pseudogene	pseudogene
RNU1-18P	RNA, U1 small nuclear 18, pseudogene	pseudogene
RNU1-19P	RNA, U1 small nuclear 19, pseudogene	pseudogene
RNU1-20P	RNA, U1 small nuclear 20, pseudogene	pseudogene
RNU1-21P	RNA, U1 small nuclear 21, pseudogene	pseudogene
RNU1-22P	RNA, U1 small nuclear 22, pseudogene	pseudogene
RNU1-23P	RNA, U1 small nuclear 23, pseudogene	pseudogene
RNU1-24P	RNA, U1 small nuclear 24, pseudogene	pseudogene
RNU1-27P	RNA, U1 small nuclear 27, pseudogene	pseudogene
RNU1-28P	RNA, U1 small nuclear 28, pseudogene	pseudogene
RNU1-29P	RNA, U1 small nuclear 29, pseudogene	pseudogene
RNU1-30P	RNA, U1 small nuclear 30, pseudogene	pseudogene
RNU1-31P	RNA, U1 small nuclear 31, pseudogene	pseudogene
RNU1-32P	RNA, U1 small nuclear 32, pseudogene	pseudogene
RNU1-33P	RNA, U1 small nuclear 33, pseudogene	pseudogene
RNU1-34P	RNA, U1 small nuclear 34, pseudogene	pseudogene
RNU1-35P	RNA, U1 small nuclear 35, pseudogene	pseudogene
RNU1-36P	RNA, U1 small nuclear 36, pseudogene	pseudogene
RNU1-38P	RNA, U1 small nuclear 38, pseudogene	pseudogene
